date,keyword,google_score
2016-01-01,AI아트,0.0
2016-01-01,Y2K패션,0.0
2016-01-01,달고나커피,0.0
2016-01-01,두바이초콜릿,0.0
2016-01-01,레트로무드,0.0
2016-01-01,마라탕,1.0
2016-01-01,숏폼콘텐츠,0.0
2016-01-01,탕후루,0.0
2016-01-01,허니버터칩,3.0
2016-01-01,흑당버블티,0.0
2016-02-01,AI아트,0.0
2016-02-01,Y2K패션,0.0
2016-02-01,달고나커피,0.0
2016-02-01,두바이초콜릿,0.0
2016-02-01,레트로무드,0.0
2016-02-01,마라탕,0.0
2016-02-01,숏폼콘텐츠,0.0
2016-02-01,탕후루,0.0
2016-02-01,허니버터칩,2.0
2016-02-01,흑당버블티,0.0
2016-03-01,AI아트,0.0
2016-03-01,Y2K패션,0.0
2016-03-01,달고나커피,0.0
2016-03-01,두바이초콜릿,0.0
2016-03-01,레트로무드,0.0
2016-03-01,마라탕,1.0
2016-03-01,숏폼콘텐츠,0.0
2016-03-01,탕후루,0.0
2016-03-01,허니버터칩,2.0
2016-03-01,흑당버블티,0.0
2016-04-01,AI아트,0.0
2016-04-01,Y2K패션,0.0
2016-04-01,달고나커피,0.0
2016-04-01,두바이초콜릿,0.0
2016-04-01,레트로무드,0.0
2016-04-01,마라탕,0.0
2016-04-01,숏폼콘텐츠,0.0
2016-04-01,탕후루,0.0
2016-04-01,허니버터칩,3.0
2016-04-01,흑당버블티,0.0
2016-05-01,AI아트,0.0
2016-05-01,Y2K패션,0.0
2016-05-01,달고나커피,0.0
2016-05-01,두바이초콜릿,0.0
2016-05-01,레트로무드,0.0
2016-05-01,마라탕,2.0
2016-05-01,숏폼콘텐츠,0.0
2016-05-01,탕후루,0.0
2016-05-01,허니버터칩,3.0
2016-05-01,흑당버블티,0.0
2016-06-01,AI아트,0.0
2016-06-01,Y2K패션,0.0
2016-06-01,달고나커피,0.0
2016-06-01,두바이초콜릿,0.0
2016-06-01,레트로무드,0.0
2016-06-01,마라탕,1.0
2016-06-01,숏폼콘텐츠,0.0
2016-06-01,탕후루,0.0
2016-06-01,허니버터칩,2.0
2016-06-01,흑당버블티,0.0
2016-07-01,AI아트,0.0
2016-07-01,Y2K패션,0.0
2016-07-01,달고나커피,0.0
2016-07-01,두바이초콜릿,0.0
2016-07-01,레트로무드,0.0
2016-07-01,마라탕,2.0
2016-07-01,숏폼콘텐츠,0.0
2016-07-01,탕후루,0.0
2016-07-01,허니버터칩,1.0
2016-07-01,흑당버블티,0.0
2016-08-01,AI아트,0.0
2016-08-01,Y2K패션,0.0
2016-08-01,달고나커피,0.0
2016-08-01,두바이초콜릿,0.0
2016-08-01,레트로무드,0.0
2016-08-01,마라탕,1.0
2016-08-01,숏폼콘텐츠,0.0
2016-08-01,탕후루,0.0
2016-08-01,허니버터칩,1.0
2016-08-01,흑당버블티,0.0
2016-09-01,AI아트,0.0
2016-09-01,Y2K패션,0.0
2016-09-01,달고나커피,0.0
2016-09-01,두바이초콜릿,0.0
2016-09-01,레트로무드,0.0
2016-09-01,마라탕,1.0
2016-09-01,숏폼콘텐츠,0.0
2016-09-01,탕후루,0.0
2016-09-01,허니버터칩,1.0
2016-09-01,흑당버블티,0.0
2016-10-01,AI아트,0.0
2016-10-01,Y2K패션,0.0
2016-10-01,달고나커피,0.0
2016-10-01,두바이초콜릿,0.0
2016-10-01,레트로무드,0.0
2016-10-01,마라탕,2.0
2016-10-01,숏폼콘텐츠,0.0
2016-10-01,탕후루,0.0
2016-10-01,허니버터칩,2.0
2016-10-01,흑당버블티,0.0
2016-11-01,AI아트,0.0
2016-11-01,Y2K패션,0.0
2016-11-01,달고나커피,0.0
2016-11-01,두바이초콜릿,0.0
2016-11-01,레트로무드,0.0
2016-11-01,마라탕,1.0
2016-11-01,숏폼콘텐츠,0.0
2016-11-01,탕후루,0.0
2016-11-01,허니버터칩,2.0
2016-11-01,흑당버블티,0.0
2016-12-01,AI아트,0.0
2016-12-01,Y2K패션,0.0
2016-12-01,달고나커피,0.0
2016-12-01,두바이초콜릿,0.0
2016-12-01,레트로무드,0.0
2016-12-01,마라탕,2.0
2016-12-01,숏폼콘텐츠,0.0
2016-12-01,탕후루,0.0
2016-12-01,허니버터칩,2.0
2016-12-01,흑당버블티,0.0
2017-01-01,AI아트,0.0
2017-01-01,Y2K패션,0.0
2017-01-01,달고나커피,0.0
2017-01-01,두바이초콜릿,0.0
2017-01-01,레트로무드,0.0
2017-01-01,마라탕,2.0
2017-01-01,숏폼콘텐츠,0.0
2017-01-01,탕후루,0.0
2017-01-01,허니버터칩,2.0
2017-01-01,흑당버블티,0.0
2017-02-01,AI아트,0.0
2017-02-01,Y2K패션,0.0
2017-02-01,달고나커피,0.0
2017-02-01,두바이초콜릿,0.0
2017-02-01,레트로무드,0.0
2017-02-01,마라탕,2.0
2017-02-01,숏폼콘텐츠,0.0
2017-02-01,탕후루,0.0
2017-02-01,허니버터칩,1.0
2017-02-01,흑당버블티,0.0
2017-03-01,AI아트,0.0
2017-03-01,Y2K패션,0.0
2017-03-01,달고나커피,0.0
2017-03-01,두바이초콜릿,0.0
2017-03-01,레트로무드,0.0
2017-03-01,마라탕,2.0
2017-03-01,숏폼콘텐츠,0.0
2017-03-01,탕후루,1.0
2017-03-01,허니버터칩,1.0
2017-03-01,흑당버블티,0.0
2017-04-01,AI아트,0.0
2017-04-01,Y2K패션,0.0
2017-04-01,달고나커피,0.0
2017-04-01,두바이초콜릿,0.0
2017-04-01,레트로무드,0.0
2017-04-01,마라탕,3.0
2017-04-01,숏폼콘텐츠,0.0
2017-04-01,탕후루,1.0
2017-04-01,허니버터칩,2.0
2017-04-01,흑당버블티,0.0
2017-05-01,AI아트,0.0
2017-05-01,Y2K패션,0.0
2017-05-01,달고나커피,0.0
2017-05-01,두바이초콜릿,0.0
2017-05-01,레트로무드,0.0
2017-05-01,마라탕,2.0
2017-05-01,숏폼콘텐츠,0.0
2017-05-01,탕후루,0.0
2017-05-01,허니버터칩,2.0
2017-05-01,흑당버블티,0.0
2017-06-01,AI아트,0.0
2017-06-01,Y2K패션,0.0
2017-06-01,달고나커피,0.0
2017-06-01,두바이초콜릿,0.0
2017-06-01,레트로무드,0.0
2017-06-01,마라탕,3.0
2017-06-01,숏폼콘텐츠,0.0
2017-06-01,탕후루,0.0
2017-06-01,허니버터칩,1.0
2017-06-01,흑당버블티,0.0
2017-07-01,AI아트,0.0
2017-07-01,Y2K패션,0.0
2017-07-01,달고나커피,0.0
2017-07-01,두바이초콜릿,0.0
2017-07-01,레트로무드,0.0
2017-07-01,마라탕,3.0
2017-07-01,숏폼콘텐츠,0.0
2017-07-01,탕후루,0.0
2017-07-01,허니버터칩,1.0
2017-07-01,흑당버블티,0.0
2017-08-01,AI아트,0.0
2017-08-01,Y2K패션,0.0
2017-08-01,달고나커피,0.0
2017-08-01,두바이초콜릿,0.0
2017-08-01,레트로무드,0.0
2017-08-01,마라탕,3.0
2017-08-01,숏폼콘텐츠,0.0
2017-08-01,탕후루,0.0
2017-08-01,허니버터칩,0.0
2017-08-01,흑당버블티,0.0
2017-09-01,AI아트,0.0
2017-09-01,Y2K패션,0.0
2017-09-01,달고나커피,0.0
2017-09-01,두바이초콜릿,0.0
2017-09-01,레트로무드,0.0
2017-09-01,마라탕,5.0
2017-09-01,숏폼콘텐츠,0.0
2017-09-01,탕후루,0.0
2017-09-01,허니버터칩,1.0
2017-09-01,흑당버블티,0.0
2017-10-01,AI아트,0.0
2017-10-01,Y2K패션,0.0
2017-10-01,달고나커피,0.0
2017-10-01,두바이초콜릿,0.0
2017-10-01,레트로무드,0.0
2017-10-01,마라탕,4.0
2017-10-01,숏폼콘텐츠,0.0
2017-10-01,탕후루,1.0
2017-10-01,허니버터칩,2.0
2017-10-01,흑당버블티,0.0
2017-11-01,AI아트,0.0
2017-11-01,Y2K패션,0.0
2017-11-01,달고나커피,0.0
2017-11-01,두바이초콜릿,0.0
2017-11-01,레트로무드,0.0
2017-11-01,마라탕,7.0
2017-11-01,숏폼콘텐츠,0.0
2017-11-01,탕후루,0.0
2017-11-01,허니버터칩,2.0
2017-11-01,흑당버블티,0.0
2017-12-01,AI아트,0.0
2017-12-01,Y2K패션,0.0
2017-12-01,달고나커피,0.0
2017-12-01,두바이초콜릿,0.0
2017-12-01,레트로무드,0.0
2017-12-01,마라탕,5.0
2017-12-01,숏폼콘텐츠,0.0
2017-12-01,탕후루,1.0
2017-12-01,허니버터칩,2.0
2017-12-01,흑당버블티,0.0
2018-01-01,AI아트,0.0
2018-01-01,Y2K패션,0.0
2018-01-01,달고나커피,0.0
2018-01-01,두바이초콜릿,0.0
2018-01-01,레트로무드,0.0
2018-01-01,마라탕,6.0
2018-01-01,숏폼콘텐츠,0.0
2018-01-01,탕후루,4.0
2018-01-01,허니버터칩,2.0
2018-01-01,흑당버블티,0.0
2018-02-01,AI아트,0.0
2018-02-01,Y2K패션,0.0
2018-02-01,달고나커피,0.0
2018-02-01,두바이초콜릿,0.0
2018-02-01,레트로무드,0.0
2018-02-01,마라탕,5.0
2018-02-01,숏폼콘텐츠,0.0
2018-02-01,탕후루,4.0
2018-02-01,허니버터칩,1.0
2018-02-01,흑당버블티,0.0
2018-03-01,AI아트,0.0
2018-03-01,Y2K패션,0.0
2018-03-01,달고나커피,0.0
2018-03-01,두바이초콜릿,0.0
2018-03-01,레트로무드,0.0
2018-03-01,마라탕,6.0
2018-03-01,숏폼콘텐츠,0.0
2018-03-01,탕후루,7.0
2018-03-01,허니버터칩,2.0
2018-03-01,흑당버블티,0.0
2018-04-01,AI아트,0.0
2018-04-01,Y2K패션,0.0
2018-04-01,달고나커피,0.0
2018-04-01,두바이초콜릿,0.0
2018-04-01,레트로무드,0.0
2018-04-01,마라탕,7.0
2018-04-01,숏폼콘텐츠,0.0
2018-04-01,탕후루,4.0
2018-04-01,허니버터칩,2.0
2018-04-01,흑당버블티,0.0
2018-05-01,AI아트,0.0
2018-05-01,Y2K패션,0.0
2018-05-01,달고나커피,0.0
2018-05-01,두바이초콜릿,0.0
2018-05-01,레트로무드,0.0
2018-05-01,마라탕,6.0
2018-05-01,숏폼콘텐츠,0.0
2018-05-01,탕후루,3.0
2018-05-01,허니버터칩,2.0
2018-05-01,흑당버블티,0.0
2018-06-01,AI아트,0.0
2018-06-01,Y2K패션,0.0
2018-06-01,달고나커피,0.0
2018-06-01,두바이초콜릿,0.0
2018-06-01,레트로무드,0.0
2018-06-01,마라탕,7.0
2018-06-01,숏폼콘텐츠,0.0
2018-06-01,탕후루,2.0
2018-06-01,허니버터칩,1.0
2018-06-01,흑당버블티,0.0
2018-07-01,AI아트,0.0
2018-07-01,Y2K패션,0.0
2018-07-01,달고나커피,0.0
2018-07-01,두바이초콜릿,0.0
2018-07-01,레트로무드,0.0
2018-07-01,마라탕,7.0
2018-07-01,숏폼콘텐츠,0.0
2018-07-01,탕후루,2.0
2018-07-01,허니버터칩,1.0
2018-07-01,흑당버블티,0.0
2018-08-01,AI아트,0.0
2018-08-01,Y2K패션,0.0
2018-08-01,달고나커피,0.0
2018-08-01,두바이초콜릿,0.0
2018-08-01,레트로무드,0.0
2018-08-01,마라탕,10.0
2018-08-01,숏폼콘텐츠,0.0
2018-08-01,탕후루,3.0
2018-08-01,허니버터칩,1.0
2018-08-01,흑당버블티,0.0
2018-09-01,AI아트,0.0
2018-09-01,Y2K패션,0.0
2018-09-01,달고나커피,0.0
2018-09-01,두바이초콜릿,0.0
2018-09-01,레트로무드,0.0
2018-09-01,마라탕,10.0
2018-09-01,숏폼콘텐츠,0.0
2018-09-01,탕후루,2.0
2018-09-01,허니버터칩,2.0
2018-09-01,흑당버블티,0.0
2018-10-01,AI아트,0.0
2018-10-01,Y2K패션,0.0
2018-10-01,달고나커피,0.0
2018-10-01,두바이초콜릿,0.0
2018-10-01,레트로무드,0.0
2018-10-01,마라탕,11.0
2018-10-01,숏폼콘텐츠,0.0
2018-10-01,탕후루,2.0
2018-10-01,허니버터칩,1.0
2018-10-01,흑당버블티,0.0
2018-11-01,AI아트,0.0
2018-11-01,Y2K패션,0.0
2018-11-01,달고나커피,0.0
2018-11-01,두바이초콜릿,0.0
2018-11-01,레트로무드,0.0
2018-11-01,마라탕,10.0
2018-11-01,숏폼콘텐츠,0.0
2018-11-01,탕후루,2.0
2018-11-01,허니버터칩,2.0
2018-11-01,흑당버블티,0.0
2018-12-01,AI아트,0.0
2018-12-01,Y2K패션,0.0
2018-12-01,달고나커피,0.0
2018-12-01,두바이초콜릿,0.0
2018-12-01,레트로무드,0.0
2018-12-01,마라탕,12.0
2018-12-01,숏폼콘텐츠,0.0
2018-12-01,탕후루,4.0
2018-12-01,허니버터칩,1.0
2018-12-01,흑당버블티,0.0
2019-01-01,AI아트,0.0
2019-01-01,Y2K패션,0.0
2019-01-01,달고나커피,0.0
2019-01-01,두바이초콜릿,0.0
2019-01-01,레트로무드,0.0
2019-01-01,마라탕,15.0
2019-01-01,숏폼콘텐츠,0.0
2019-01-01,탕후루,7.0
2019-01-01,허니버터칩,1.0
2019-01-01,흑당버블티,0.0
2019-02-01,AI아트,0.0
2019-02-01,Y2K패션,0.0
2019-02-01,달고나커피,0.0
2019-02-01,두바이초콜릿,0.0
2019-02-01,레트로무드,0.0
2019-02-01,마라탕,14.0
2019-02-01,숏폼콘텐츠,0.0
2019-02-01,탕후루,11.0
2019-02-01,허니버터칩,1.0
2019-02-01,흑당버블티,0.0
2019-03-01,AI아트,0.0
2019-03-01,Y2K패션,0.0
2019-03-01,달고나커피,0.0
2019-03-01,두바이초콜릿,0.0
2019-03-01,레트로무드,0.0
2019-03-01,마라탕,19.0
2019-03-01,숏폼콘텐츠,0.0
2019-03-01,탕후루,8.0
2019-03-01,허니버터칩,1.0
2019-03-01,흑당버블티,0.0
2019-04-01,AI아트,0.0
2019-04-01,Y2K패션,0.0
2019-04-01,달고나커피,0.0
2019-04-01,두바이초콜릿,0.0
2019-04-01,레트로무드,0.0
2019-04-01,마라탕,27.0
2019-04-01,숏폼콘텐츠,0.0
2019-04-01,탕후루,5.0
2019-04-01,허니버터칩,1.0
2019-04-01,흑당버블티,1.0
2019-05-01,AI아트,0.0
2019-05-01,Y2K패션,0.0
2019-05-01,달고나커피,0.0
2019-05-01,두바이초콜릿,0.0
2019-05-01,레트로무드,0.0
2019-05-01,마라탕,36.0
2019-05-01,숏폼콘텐츠,0.0
2019-05-01,탕후루,4.0
2019-05-01,허니버터칩,1.0
2019-05-01,흑당버블티,3.0
2019-06-01,AI아트,0.0
2019-06-01,Y2K패션,0.0
2019-06-01,달고나커피,0.0
2019-06-01,두바이초콜릿,0.0
2019-06-01,레트로무드,0.0
2019-06-01,마라탕,41.0
2019-06-01,숏폼콘텐츠,0.0
2019-06-01,탕후루,3.0
2019-06-01,허니버터칩,1.0
2019-06-01,흑당버블티,5.0
2019-07-01,AI아트,0.0
2019-07-01,Y2K패션,0.0
2019-07-01,달고나커피,0.0
2019-07-01,두바이초콜릿,0.0
2019-07-01,레트로무드,0.0
2019-07-01,마라탕,56.0
2019-07-01,숏폼콘텐츠,0.0
2019-07-01,탕후루,3.0
2019-07-01,허니버터칩,1.0
2019-07-01,흑당버블티,6.0
2019-08-01,AI아트,0.0
2019-08-01,Y2K패션,0.0
2019-08-01,달고나커피,0.0
2019-08-01,두바이초콜릿,0.0
2019-08-01,레트로무드,0.0
2019-08-01,마라탕,41.0
2019-08-01,숏폼콘텐츠,0.0
2019-08-01,탕후루,3.0
2019-08-01,허니버터칩,1.0
2019-08-01,흑당버블티,6.0
2019-09-01,AI아트,0.0
2019-09-01,Y2K패션,0.0
2019-09-01,달고나커피,0.0
2019-09-01,두바이초콜릿,0.0
2019-09-01,레트로무드,0.0
2019-09-01,마라탕,37.0
2019-09-01,숏폼콘텐츠,0.0
2019-09-01,탕후루,2.0
2019-09-01,허니버터칩,1.0
2019-09-01,흑당버블티,4.0
2019-10-01,AI아트,0.0
2019-10-01,Y2K패션,0.0
2019-10-01,달고나커피,0.0
2019-10-01,두바이초콜릿,0.0
2019-10-01,레트로무드,0.0
2019-10-01,마라탕,29.0
2019-10-01,숏폼콘텐츠,0.0
2019-10-01,탕후루,3.0
2019-10-01,허니버터칩,1.0
2019-10-01,흑당버블티,3.0
2019-11-01,AI아트,0.0
2019-11-01,Y2K패션,0.0
2019-11-01,달고나커피,0.0
2019-11-01,두바이초콜릿,0.0
2019-11-01,레트로무드,0.0
2019-11-01,마라탕,32.0
2019-11-01,숏폼콘텐츠,0.0
2019-11-01,탕후루,4.0
2019-11-01,허니버터칩,1.0
2019-11-01,흑당버블티,2.0
2019-12-01,AI아트,0.0
2019-12-01,Y2K패션,0.0
2019-12-01,달고나커피,0.0
2019-12-01,두바이초콜릿,0.0
2019-12-01,레트로무드,0.0
2019-12-01,마라탕,31.0
2019-12-01,숏폼콘텐츠,0.0
2019-12-01,탕후루,5.0
2019-12-01,허니버터칩,1.0
2019-12-01,흑당버블티,3.0
2020-01-01,AI아트,0.0
2020-01-01,Y2K패션,0.0
2020-01-01,달고나커피,0.0
2020-01-01,두바이초콜릿,0.0
2020-01-01,레트로무드,0.0
2020-01-01,마라탕,30.0
2020-01-01,숏폼콘텐츠,0.0
2020-01-01,탕후루,8.0
2020-01-01,허니버터칩,1.0
2020-01-01,흑당버블티,2.0
2020-02-01,AI아트,0.0
2020-02-01,Y2K패션,0.0
2020-02-01,달고나커피,3.0
2020-02-01,두바이초콜릿,0.0
2020-02-01,레트로무드,0.0
2020-02-01,마라탕,23.0
2020-02-01,숏폼콘텐츠,0.0
2020-02-01,탕후루,8.0
2020-02-01,허니버터칩,1.0
2020-02-01,흑당버블티,2.0
2020-03-01,AI아트,0.0
2020-03-01,Y2K패션,0.0
2020-03-01,달고나커피,60.0
2020-03-01,두바이초콜릿,0.0
2020-03-01,레트로무드,0.0
2020-03-01,마라탕,18.0
2020-03-01,숏폼콘텐츠,0.0
2020-03-01,탕후루,14.0
2020-03-01,허니버터칩,2.0
2020-03-01,흑당버블티,2.0
2020-04-01,AI아트,1.0
2020-04-01,Y2K패션,0.0
2020-04-01,달고나커피,40.0
2020-04-01,두바이초콜릿,0.0
2020-04-01,레트로무드,0.0
2020-04-01,마라탕,19.0
2020-04-01,숏폼콘텐츠,1.0
2020-04-01,탕후루,7.0
2020-04-01,허니버터칩,2.0
2020-04-01,흑당버블티,2.0
2020-05-01,AI아트,0.0
2020-05-01,Y2K패션,0.0
2020-05-01,달고나커피,15.0
2020-05-01,두바이초콜릿,0.0
2020-05-01,레트로무드,0.0
2020-05-01,마라탕,21.0
2020-05-01,숏폼콘텐츠,0.0
2020-05-01,탕후루,4.0
2020-05-01,허니버터칩,1.0
2020-05-01,흑당버블티,2.0
2020-06-01,AI아트,0.0
2020-06-01,Y2K패션,0.0
2020-06-01,달고나커피,6.0
2020-06-01,두바이초콜릿,0.0
2020-06-01,레트로무드,0.0
2020-06-01,마라탕,21.0
2020-06-01,숏폼콘텐츠,0.0
2020-06-01,탕후루,2.0
2020-06-01,허니버터칩,2.0
2020-06-01,흑당버블티,2.0
2020-07-01,AI아트,1.0
2020-07-01,Y2K패션,0.0
2020-07-01,달고나커피,5.0
2020-07-01,두바이초콜릿,0.0
2020-07-01,레트로무드,0.0
2020-07-01,마라탕,26.0
2020-07-01,숏폼콘텐츠,0.0
2020-07-01,탕후루,2.0
2020-07-01,허니버터칩,1.0
2020-07-01,흑당버블티,1.0
2020-08-01,AI아트,0.0
2020-08-01,Y2K패션,0.0
2020-08-01,달고나커피,3.0
2020-08-01,두바이초콜릿,0.0
2020-08-01,레트로무드,0.0
2020-08-01,마라탕,25.0
2020-08-01,숏폼콘텐츠,0.0
2020-08-01,탕후루,2.0
2020-08-01,허니버터칩,1.0
2020-08-01,흑당버블티,1.0
2020-09-01,AI아트,1.0
2020-09-01,Y2K패션,0.0
2020-09-01,달고나커피,3.0
2020-09-01,두바이초콜릿,0.0
2020-09-01,레트로무드,0.0
2020-09-01,마라탕,22.0
2020-09-01,숏폼콘텐츠,0.0
2020-09-01,탕후루,3.0
2020-09-01,허니버터칩,1.0
2020-09-01,흑당버블티,1.0
2020-10-01,AI아트,0.0
2020-10-01,Y2K패션,0.0
2020-10-01,달고나커피,2.0
2020-10-01,두바이초콜릿,0.0
2020-10-01,레트로무드,0.0
2020-10-01,마라탕,26.0
2020-10-01,숏폼콘텐츠,1.0
2020-10-01,탕후루,3.0
2020-10-01,허니버터칩,1.0
2020-10-01,흑당버블티,1.0
2020-11-01,AI아트,0.0
2020-11-01,Y2K패션,0.0
2020-11-01,달고나커피,2.0
2020-11-01,두바이초콜릿,0.0
2020-11-01,레트로무드,0.0
2020-11-01,마라탕,24.0
2020-11-01,숏폼콘텐츠,0.0
2020-11-01,탕후루,3.0
2020-11-01,허니버터칩,1.0
2020-11-01,흑당버블티,1.0
2020-12-01,AI아트,0.0
2020-12-01,Y2K패션,0.0
2020-12-01,달고나커피,2.0
2020-12-01,두바이초콜릿,0.0
2020-12-01,레트로무드,0.0
2020-12-01,마라탕,22.0
2020-12-01,숏폼콘텐츠,0.0
2020-12-01,탕후루,5.0
2020-12-01,허니버터칩,1.0
2020-12-01,흑당버블티,1.0
2021-01-01,AI아트,0.0
